Title,DOI,Abstract
Treatment strategies of hospitalized patients with coronavirus disease-19,10.18632/aging.103370,"With the outbreak of coronavirus disease-19 (COVID-19), Changsha faced an increasing burden of treating the Wuhan migrants and their infected patients. This study is a retrospective, single-center case series of the 238 consecutive hospitalized patients with confirmed COVID-19 at the First Hospital of Changsha city, China, from 01/21 to 02/14, 2020; the final date of follow-up was 02/27, 2020. Of 238 patients 43.7% visited Wuhan, 58.4% got in touch with Wuhan people, and 47.5% had contacted with diagnosed patients. 37.8% patients had family members infected. 190 cases had mild / general disease, and 48 cases had severe / critical disease. Compared to mild or general patients, more severe or critical patients visited Wuhan (59.6% vs 40.2%; P=0.02) and contacted with Wuhan people (74.5% vs 55.0%; P=0.02). All patients received antiviral treatment, including Lopinavir / Ritonavir (29.3%), Interferon (14.6%) and their combination (40.6%), Arbidol (6.7%), Xuebijing (7.1%) and Chloroquine phosphate (1.3%). Severe and critical patients received glucocorticoid, Gamma-globulin and oxygen inhalation. Some received mechanic ventilation support. As of 02/27, 161 patients discharged. The median length of hospital stay was 13 days. The 10-, 14-, 20- and 28-day discharge rate was 19.1%, 42.8%, 65.0% and 76.4%, respectively. No hospital-related transmission was observed. © Huang et al."
Innovative Applications and Development of AI for Emergency Services,10.1088/1742-6596/1575/1/012203,"With the outbreak of 2019-ncov (NCP) virus, many AI technologies, equipment and platforms are emerging in the main battlefield of anti-epidemic, such as patrol UVA, 360 disinfection robot, infrared intelligent temperature measuring equipment, throat swab robot, whole lung quantitative analysis technology, medical robot, etc. In the future, AI will continue to play an important role not only in virus type identification, abnormal pathology detection, optimization of treatment methods, prediction of the flow of people, etc., but also in emergency services such as plugging loopholes, making up for shortcomings, strengthening weaknesses. It is suggested to integrate AI into the construction of the emergency system, strengthen the institutional guarantee and make a top-level design, build a coordination platform for AI emergency response, promote the research of key technologies in the field of emergency services and solve the problem of cross-platform coupling in order to build an efficient, scientific and intelligent emergency management system as soon as possible. © 2020 Published under licence by IOP Publishing Ltd."
Analytical Methods on Determination in Pharmaceuticals and Biological Materials of Chloroquine as Available for the Treatment of COVID-19,10.1080/10408347.2020.1781592,"With the outbreak caused by the severe acute respiratory syndrome coronavirus (COVID-19), people’s health and existing economies on a global scale are seriously threatened. Currently, most of the countries all over the world are studying extensively to better understand the antimalarial chloroquine (CQ) and hydroxychloroquine (HCQ) for therapeutic purposes due to the COVID-19 outbreak. However, CQ and HCQ can have serious side effects, from psychiatric effects to sudden death. Therefore, a faster and more effective detection method is needed to monitor drug concentrations. In this review, a large study was conducted on the detection techniques and quantitative determination methods of CQ and its related metabolites. In this review, chromatography, electrophoresis, electroanalytical, spectroscopic, and immunological methods for CQ and related metabolites are discussed extensively. It is hoped that a better understanding of the CQ used for therapeutic purposes in the COVID-19 outbreak will be provided. © 2020, © 2020 Taylor & Francis Group, LLC."
Adapting Management of Sarcomas in COVID-19: An Evidence-Based Review,10.1007/s43465-020-00143-1,"With the novel coronavirus disease (COVID-19) being declared a global pandemic by the World Health Organization, the Indian healthcare sector is at the forefront to deliver optimal care. Patients with cancer especially are at serious risk for increased chances of morbidity and mortality due to their immunocompromised state. Currently there is a paucity of definitive guidelines for the management of sarcomas during the pandemic in a resource-constrained and diverse population setting like India. Health care professionals from various specialties involved in the management of sarcomas have collaborated to discuss various aspects of evidence-based sarcoma management during the COVID-19 pandemic. This article provides structured recommendations for HCP to adapt to the situation, optimize treatment protocols with judicious use of all resources while providing evidence-based treatment for sarcoma patients. © 2020, Indian Orthopaedics Association."
Status quo and review of clinical application of antibody detection for 2019-nCoV [新型冠状病毒特异性抗体检测现状及应用思考],10.3760/cma.j.cn114452-20200219-00091,"With the gradual progress of epidemic prevention and control work, the process of epidemic prevention and control in COVID-19 has entered a critical period. As the main method to diagnose patients with COVID-19,the disadvantages of nucleic acid detection are gradually revealed. As an important immune response product, specific antibodies have been rapidly applied to the laboratory detection of 2019 novel coronavirus (2019-nCoV), combined with nucleic acid detection for rapid diagnosis and screening of patients with COVID-19. This paper explores and discusses the production pattern and common detection methods of 2019-nCoV specific antibodies and the application and limitations of antibody detection in the clinical work to promote the application and development of specific antibody in COVID-19 diagnosis. Copyright © 2020 by the Chinese Medical Association."
Evaluation of a high-speed but low-throughput RT-qPCR system for detection of SARS-CoV-2,10.1016/j.jhin.2020.05.025,"With the emergence of severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2), which causes coronavirus disease 2019 (COVID-19), a high-speed and convenient detection technology should be at the forefront of medical care worldwide. This study evaluated the usefulness of GeneSoC, a compact, high-speed reciprocal flow quantitative reverse transcription polymerase chain reaction system, for the detection of SARS-CoV-2. The results support the use of this system for the rapid identification of SARS-CoV-2. This approach can contribute to the strategic selection of initial management strategies for patients with COVID-19. © 2020 The Healthcare Infection Society"
"Computational analysis of SARS-CoV-2/COVID-19 surveillance by wastewater-based epidemiology locally and globally: Feasibility, economy, opportunities and challenges",10.1016/j.scitotenv.2020.138875,"With the economic and practical limits of medical screening for SARS-CoV-2/COVID-19 coming sharply into focus worldwide, scientists are turning now to wastewater-based epidemiology (WBE) as a potential tool for assessing and managing the pandemic. We employed computational analysis and modeling to examine the feasibility, economy, opportunities and challenges of enumerating active coronavirus infections locally and globally using WBE. Depending on local conditions, detection in community wastewater of one symptomatic/asymptomatic infected case per 100 to 2,000,000 non-infected people is theoretically feasible, with some practical successes now being reported from around the world. Computer simulations for past, present and emerging epidemic hotspots (e.g., Wuhan, Milan, Madrid, New York City, Teheran, Seattle, Detroit and New Orleans) identified temperature, average in-sewer travel time and per-capita water use as key variables. WBE surveillance of populations is shown to be orders of magnitude cheaper and faster than clinical screening, yet cannot fully replace it. Cost savings worldwide for one-time national surveillance campaigns are estimated to be in the million to billion US dollar range (US$), depending on a nation's population size and number of testing rounds conducted. For resource poor regions and nations, WBE may represent the only viable means of effective surveillance. Important limitations of WBE rest with its inability to identify individuals and to pinpoint their specific locations. Not compensating for temperature effects renders WBE data vulnerable to severe under-/over-estimation of infected cases. Effective surveillance may be envisioned as a two-step process in which WBE serves to identify and enumerate infected cases, where after clinical testing then serves to identify infected individuals in WBE-revealed hotspots. Data provided here demonstrate this approach to save money, be broadly applicable worldwide, and potentially aid in precision management of the pandemic, thereby helping to accelerate the global economic recovery that billions of people rely upon for their livelihoods. © 2020 The Authors"
The Potential of Various Nanotechnologies for Coronavirus Diagnosis/Treatment Highlighted through a Literature Analysis,10.1021/acs.bioconjchem.0c00287,"With the current COVID-19 outbreak, it has become essential to develop efficient methods for the treatment and detection of this virus. Among the new approaches that could be tested, that relying on nanotechnology finds one of its main grounds in the similarity between nanoparticle (NP) and coronavirus (COV) sizes, which promotes NP-COV interactions. Since COVID-19 is very recent, most studies in this field have focused on other types of coronavirus than COVID-19, such as those involved in MERS or SARS diseases. Although their number is limited, they have led to promising results on various COV using a wide range of different types of nanosystems, e.g., nanoparticles, quantum dos, or nanoassemblies of polymers/proteins. Additional efforts deserve to be spent in this field to consolidate these findings. Here, I first summarize the different nanotechnology-based methods used for COV detection, i.e., optical, electrical, or PCR ones, whose sensitivity was improved by the presence of nanoparticles. Furthermore, I present vaccination methods, which comprise nanoparticles used either as adjuvants or as active principles. They often yield a better-controlled immune response, possibly due to an improved antigen presentation/processing than in non-nanoformulated vaccines. Certain antiviral approaches also took advantage of nanoparticle uses, leading to specific mechanisms such as the blocking of virus replication at the cellular level or the reduction of a COV induced apoptotic cellular death. © 2020 American Chemical Society."
Diagnostic Testing for SARS-Coronavirus-2 in the Nursing Facility: Recommendations of a Delphi Panel of Long-Term Care Clinicians,10.1007/s12603-020-1401-9,"With the COVID-19 pandemic progressing, guidance on strategies to mitigate its devastating effects in nursing facilities (NFs) is critical to preventing additional tragic outcomes. Asymptomatic spread of COVID-19 from nursing facility staff and residents is a major accelerator of infection. Facility-wide point-prevalence testing is an emerging strategy in disease mitigation. Because time is not available to await the results of randomized controlled trials before implementing strategies in this high-risk setting, an expert Delphi panel composed of experienced long-term care medicine professionals has now met to provide testing guidance for SARS-Coronavirus-2 to NFs. After many email and telephone discussions, the panel responded to a questionnaire that included six different scenarios, based on varying availability of Polymerase Chain Reaction (RT-PCR) testing and personal protective equipment (PPE). The panel endorsed facility-wide testing of staff and residents without dissent when diagnostic RT-PCR was available. While the panel recognized the limitations of RT-PCR testing, it strongly recommended this testing for both staff and residents in NFs that were either COVID-19 naive or had limited outbreaks. There was also consensus on testing residents with atypical symptoms in a scenario of limited testing capability. The panel favored testing every 1 to 2 weeks if testing was readily available, reducing the frequency to every month as community prevalence declined or as the collection of additional data further informed clinical critical thinking and decision-making. The panel recognized that frequent testing would have consequences in terms of potential staff shortages due to quarantine after positive tests and increased PPE use. However, the panel felt that not testing would allow new clusters of infection to form. The resulting high mortality rate would outweigh the potential negative consequences of testing. The panel also recognized the pandemic as a rapidly evolving crisis, and that new science and increasing experience might require an updating of its recommendations. The panel hopes that its recommendations will be of value to the long-term care industry and to policy makers as we work together to manage through this challenging and stressful time. © 2020, Serdi and Springer-Verlag International SAS, part of Springer Nature."
The Role of Chest Imaging in Patient Management During the COVID-19 Pandemic: A Multinational Consensus Statement From the Fleischner Society,10.1016/j.chest.2020.04.003,"With more than 900,000 confirmed cases worldwide and nearly 50,000 deaths during the first 3 months of 2020, the coronavirus disease 2019 (COVID-19) pandemic has emerged as an unprecedented health care crisis. The spread of COVID-19 has been heterogeneous, resulting in some regions having sporadic transmission and relatively few hospitalized patients with COVID-19 and others having community transmission that has led to overwhelming numbers of severe cases. For these regions, health care delivery has been disrupted and compromised by critical resource constraints in diagnostic testing, hospital beds, ventilators, and health care workers who have fallen ill to the virus exacerbated by shortages of personal protective equipment. Although mild cases mimic common upper respiratory viral infections, respiratory dysfunction becomes the principal source of morbidity and mortality as the disease advances. Thoracic imaging with chest radiography and CT are key tools for pulmonary disease diagnosis and management, but their role in the management of COVID-19 has not been considered within the multivariable context of the severity of respiratory disease, pretest probability, risk factors for disease progression, and critical resource constraints. To address this deficit, a multidisciplinary panel comprised principally of radiologists and pulmonologists from 10 countries with experience managing patients with COVID-19 across a spectrum of health care environments evaluated the utility of imaging within three scenarios representing varying risk factors, community conditions, and resource constraints. Fourteen key questions, corresponding to 11 decision points within the three scenarios and three additional clinical situations, were rated by the panel based on the anticipated value of the information that thoracic imaging would be expected to provide. The results were aggregated, resulting in five main and three additional recommendations intended to guide medical practitioners in the use of chest radiography and CT in the management of COVID-19. © 2020 American College of Chest Physicians, published by Elsevier Inc; RSNA"
The role of chest imaging in patient management during the covid-19 pandemic: A multinational consensus statement from the fleischner society,10.1148/radiol.2020201365,"With more than 900 000 confirmed cases worldwide and nearly 50 000 deaths during the first 3 months of 2020, the coronavirus disease 2019 (COVID-19) pandemic has emerged as an unprecedented health care crisis. The spread of COVID-19 has been heterogeneous, resulting in some regions having sporadic transmission and relatively few hospitalized patients with COVID-19 and others having community transmission that has led to overwhelming numbers of severe cases. For these regions, health care delivery has been disrupted and compromised by critical resource constraints in diagnostic testing, hospital beds, ventilators, and health care workers who have fallen ill to the virus exacerbated by shortages of personal protective equipment. Although mild cases mimic common upper respiratory viral infections, respiratory dysfunction becomes the principal source of morbidity and mortality as the disease advances. Thoracic imaging with chest radiography and CT are key tools for pulmonary disease diagnosis and management, but their role in the management of COVID-19 has not been considered within the multivariable context of the severity of respiratory disease, pretest probability, risk factors for disease progression, and critical resource constraints. To address this deficit, a multidisciplinary panel comprised principally of radiologists and pulmonologists from 10 countries with experience managing patients with COVID-19 across a spectrum of health care environments evaluated the utility of imaging within three scenarios representing varying risk factors, community conditions, and resource constraints. Fourteen key questions, corresponding to 11 decision points within the three scenarios and three additional clinical situations, were rated by the panel based on the anticipated value of the information that thoracic imaging would be expected to provide. The results were aggregated, resulting in five main and three additional recommendations intended to guide medical practitioners in the use of chest radiography and CT in the management of COVID-19. © RSNA, 2020; American College of Chest Physicians, published by Elsevier Inc."
Successful containment of Covid-19 outbreak in a large maternity and perinatal center while continuing clinical service,10.1111/pai.13265,"With increasing number of SARS-CoV-2 infections and COVID-19 patients to be taken care of by the health system, more and more health workers become affected by the disease. It has been reported that right from the beginning of the outbreak in Lombardy up to 20% of the doctors and nurses became infected. Under these circumstances, the regular operation of health institutions already suffering from a shortage of staff becomes difficult. This has led to complete or partial shutdowns of hospitals, either due to a lack of uninfected personnel or because of uncontrollable chains of infection endangering patients. In one of the largest university perinatal center in Bavaria with more than 3000 births per year, an outbreak of COVID-19 occurred in March 2020, affecting 36 staff members, including doctors, nurses, and midwives. Here, we describe the outbreak and present the measures contributing to the successful containment of the outbreak within three weeks. At the same time, clinical services could be maintained, however, not without deployment of personnel exposed to employees infected with SARS-CoV-2. Apart from massive testing of personnel in pre-defined phases and increased hygiene measures, including a general obligation to wear surgical face masks, we identified the need to monitor cases of illness across all groups of employees, to ensure social distancing within personnel and to evaluate contacts of clinical personnel outside of the hospital environment, in order to be able to interpret chains of infections and to disrupt them. Overall, only a bundle of measures is needed to contain such an outbreak. © 2020 The Authors. Pediatric Allergy and Immunology published by John Wiley & Sons Ltd."
Managing childhood allergies and immunodeficiencies during respiratory virus epidemics – The 2020 COVID-19 pandemic: A statement from the EAACI-section on pediatrics,10.1111/pai.13262,"While the world is facing an unprecedented pandemic with COVID-19, patients with chronic diseases need special attention and if warranted adaptation of their regular treatment plan. In children, allergy and asthma are among the most prevalent non-communicable chronic diseases, and healthcare providers taking care of these patients need guidance. At the current stage of knowledge, children have less severe symptoms of COVID-19, and severe asthma and immunodeficiency are classified as risk factors. In addition, there is no evidence that currently available asthma and allergy treatments, including antihistamines, corticosteroids, and bronchodilators, increase the risk of severe disease from COVID-19. Most countries affected by COVID-19 have opted for nationwide confinement, which means that communication with the primary clinician is often performed by telemedicine. Optimal disease control of allergic, asthmatic, and immunodeficient children should be sought according to usual treatment guidelines. This statement of the EAACI Section on Pediatrics puts forward six recommendations for the management of childhood allergies and immunodeficiencies based on six underlying facts and existing evidence. © 2020 EAACI and John Wiley and Sons A/S. Published by John Wiley and Sons Ltd."
A potential role for cyclophosphamide in the mitigation of acute respiratory distress syndrome among patients with SARS-CoV-2,10.1016/j.mehy.2020.109850,"While humanity struggles to develop a vaccine against SARS-CoV-2, it is imperative that effective and affordable therapeutic strategies be evolved. Since a majority of the SARS-CoV-2 deaths are due to acute respiratory distress syndrome (ARDS), a strategy to mitigate the same could save countless lives. Since SARS-CoV-2 related ARDS has a strong immunological component, many investigators are utilizing monoclonal antibodies against IL-6, TNF-alpha and CCR5. However, targeting a single cytokine with an expensive monoclonal antibody could be a less pragmatic approach. We propose the use of cyclophosphamide as an immunomodulator, given its proven role in various settings including autoimmune diseases, and in the post-haploidentical stem cell transplant. Cyclophosphamide could deplete cytotoxic and effector T cell populations while relatively sparing the regulatory T cells (Tregs). Cyclophosphamide could tip the balance away from the overtly pro-inflammatory and could be a less expensive and effective alternative to the currently investigated monoclonal antibodies. © 2020 Elsevier Ltd"
The importance of repeat testing in detecting coronavirus disease 2019 (COVID-19) in a coronary artery bypass grafting patient,10.1111/jocs.14604,"While elective cardiac surgeries have been postponed to prevent coronavirus disease 2019 (COVID-19) transmission and to reduce resource utilization, patients with urgent indications necessitating surgery may still be at risk of contracting the disease throughout their postoperative recovery. We present a case of an 81-year-old female who underwent urgent coronary artery bypass grafting and was readmitted following discharge to a nursing facility with a cluster of COVID-19 cases. Despite symptomatology and imaging concerning for COVID-19, two initial reverse transcription polymerase chain reaction (RT-PCR) tests were negative but a third test was positive. This case emphasizes the risks of discharge location in the COVID-19 era as well as the importance of clinical suspicion, early isolation practices for those presumed positive, and repeat testing, given the marginal sensitivity of available COVID-19 RT-PCR. © 2020 Wiley Periodicals LLC"
"Evaluation of the effectiveness of surveillance and containment measures for the first 100 patients with COVID-19 in Singapore - January 2-February 29, 2020",10.15585/MMWR.MM6911E1,"What is already known about this topic? First detected in China in late 2019, coronavirus disease 2019 (COVID-19) transmission has spread globally. What is added by this report? Singapore implemented a multipronged surveillance and containment strategy that contributed to enhanced case ascertainment and slowing of the outbreak. Based on review of the first 100 cases, the mean interval from symptom onset to isolation was 5.6 days and declined after approximately 1 month. What are the implications for public health practice? A multipronged surveillance strategy could lead to enhanced case detection and reduced transmission of highly infectious diseases such as COVID-19. © 2020 Department of Health and Human Services. All rights reserved."
